intersection_sharpe,intersection_calmar,intersection_max_dd,psd_only_sharpe,psd_window,cutoff_period
0.3436,0.1525,-0.0666,0.1691,40,15
0.4886,0.2689,-0.0536,0.3172,40,20
0.4886,0.2689,-0.0536,0.3172,40,25
0.4886,0.2689,-0.0536,0.3172,40,30
0.5546,0.3172,-0.0479,0.2863,60,15
0.5971,0.3532,-0.0458,0.3882,60,20
0.5971,0.3532,-0.0458,0.3882,60,25
0.6512,0.4337,-0.0422,0.4309,60,30
0.345,0.1632,-0.0552,0.1988,90,15
0.4561,0.2414,-0.0505,0.2886,90,20
0.5033,0.2528,-0.053,0.36,90,25
0.5018,0.2676,-0.048,0.3099,90,30
0.3389,0.1743,-0.0519,0.2266,120,15
0.4422,0.1974,-0.0619,0.3075,120,20
0.4907,0.2124,-0.0636,0.3598,120,25
0.3424,0.1529,-0.0578,0.2038,120,30
